day,hour,spends,transactions,items
2010-03-12,19,83.15999999999998,2,25
2010-03-12,21,70.16000000000001,1,14
2010-03-13,9,119.72999999999993,1,33
2010-03-13,11,84.33999999999999,2,38
2010-03-13,12,12.24,1,5
2010-03-13,13,59.50999999999998,2,16
2010-03-13,14,43.52,1,14
2010-03-13,15,18.84,2,8
2010-03-13,16,49.59,2,22
2010-03-13,18,49.12000000000001,2,24
2010-03-13,20,21.060000000000002,2,7
2010-03-14,9,121.29,1,28
2010-03-14,10,86.69999999999999,2,29
2010-03-14,11,138.02999999999994,4,34
2010-03-14,12,536.2300000000007,5,144
2010-03-14,13,11.740000000000002,3,7
2010-03-14,14,157.38,3,45
2010-03-14,15,164.14000000000001,2,18
2010-03-14,16,188.82000000000005,5,55
2010-03-14,17,496.8900000000002,5,109
2010-03-14,18,118.74000000000004,4,39
2010-03-15,9,1.49,1,1
2010-03-15,10,64.99000000000001,2,19
2010-03-15,12,115.25999999999998,1,34
2010-03-15,13,72.06,3,21
2010-03-15,16,373.33000000000027,7,87
2010-03-15,17,136.61999999999998,4,41
2010-03-15,18,35.2,2,9
2010-03-15,19,9.59,1,5
2010-03-15,21,75.37000000000002,4,29
2010-03-16,9,8.96,1,2
2010-03-16,13,281.28000000000014,5,62
2010-03-16,14,311.33000000000004,3,69
2010-03-16,15,7.4799999999999995,1,4
2010-03-16,16,123.70999999999998,5,28
2010-03-16,17,245.79000000000002,5,67
2010-03-16,18,15.42,1,4
